tick,population,average_age,collisions,deaths_collision,deaths_age,births_clone,births_spontaneous
180,8,144.125,0,0,0,0,0
181,8,145.125,0,0,0,0,0
182,9,129.889,0,0,0,1,0
183,8,132.75,1,1,0,0,0
184,8,133.75,0,0,0,0,0
185,8,134.75,0,0,0,0,0
186,8,135.75,0,0,0,0,0
187,8,136.75,0,0,0,0,0
188,8,137.75,0,0,0,0,0
189,9,123.333,0,0,0,1,0
190,9,124.333,1,0,0,0,0
191,9,125.333,1,0,0,0,0
192,9,126.333,1,0,0,0,0
193,7,135.429,1,2,0,0,0
194,7,136.429,0,0,0,0,0
195,7,137.429,0,0,0,0,0
196,7,138.429,0,0,0,0,0
197,7,139.429,0,0,0,0,0
198,7,140.429,0,0,0,0,0
199,7,141.429,0,0,0,0,0
200,7,142.429,0,0,0,0,0
201,7,143.429,0,0,0,0,0
202,7,144.429,0,0,0,0,0
203,7,145.429,0,0,0,0,0
204,7,146.429,0,0,0,0,0
205,7,147.429,0,0,0,0,0
206,8,129.875,0,0,0,1,0
207,9,116.333,1,0,0,1,0
208,9,117.333,2,0,0,0,0
209,7,151.429,2,2,0,0,0
210,7,152.429,0,0,0,0,0
211,8,134.25,0,0,0,0,1
212,8,135.25,0,0,0,0,0
213,8,136.25,0,0,0,0,0
214,8,137.25,0,0,0,0,0
215,8,138.25,0,0,0,0,0
216,9,123.778,0,0,0,1,0
217,9,124.778,1,0,0,0,0
218,8,114.125,1,1,0,0,0
219,8,115.125,0,0,0,0,0
220,8,116.125,0,0,0,0,0
221,8,117.125,0,0,0,0,0
222,8,118.125,0,0,0,0,0
223,8,119.125,0,0,0,0,0
224,9,106.778,0,0,0,0,1
225,9,107.778,0,0,0,0,0
226,9,108.778,0,0,0,0,0
227,9,109.778,0,0,0,0,0
228,9,110.778,0,0,0,0,0
229,9,111.778,0,0,0,0,0
230,9,112.778,0,0,0,0,0
231,10,102.4,0,0,0,0,1
232,11,94,0,0,0,1,0
233,11,95,1,0,0,0,0
234,11,96,1,0,0,0,0
